CODIGO|NOME|DTINICIO|DTFIM|natRubr|tpRubr|codIncCP|codIncIRRF|codIncFGTS|codIncSIND|repDSR|rep13|repFerias|repResc|repAfast|fatorRubr|LOCALAPLIC|Domestica|SE|Geral|DESCRICAO|NOTA|ordRescDom|PerAdicRub|ordRemDom|repSFDom|PerFolRes|PerEditRub|PerExcRub|FilCatRub|grupRendDom|codIncCPRP|codIncPisPasep|RDConsignado
eSocial1562|Alimentação - Ticket ou cartão - Integrantes do PAT|01012014||1806|3|0|9|0|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Alimentação - Ticket ou cartão - Integrantes do PAT|||S||N|N|S|S||0|0|0|N
eSocial1563|Alimentação - Ticket ou cartão - Não integrante do PAT|01012014||1807|3|0|9|0|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Alimentação - Ticket ou cartão - Não integrante do PAT|||S||N|N|S|S||0|0|0|N
eSocial1564|Alimentação - Cesta básica ou refeição - Integrantes do PAT|01012014||1808|3|0|9|0|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Alimentação - Cesta básica ou refeição - Integrantes do PAT|||S||N|N|S|S||0|0|0|N
eSocial1565|Alimentação - Cesta básica ou refeição - Não integrante do PAT|01012014||1809|3|0|9|11|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Alimentação - Cesta básica ou refeição - Não integrante do PAT|||S||N|N|S|S||0|0|0|N
eSocial1570|Vestuário e equipamentos|01012014||2903|1|0|9|0|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Valor correspondente a vestuários, equipamentos e outros acessórios fornecidos ao trabalhador e utilizados no local de trabalho para prestação dos respectivos serviços|||S||N|N|S|S||0|0|0|N
eSocial1600|Abonos|01012014|30042018|1401|1|11|11|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente ao abono concedido de forma espontânea pelo empregador ou em virtude de acordo ou convenção coletiva, norma, etc.||30|S|35|S|N|S|S||31|0|0|N
eSocial1600|Abonos|01052018||1401|1|0|11|0|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Valor referente ao abono concedido de forma espontânea pelo empregador ou em virtude de acordo ou convenção coletiva, norma, etc.||30|S|35|S|N|S|S||31|0|0|S
eSocial1610|Abono PIS/PASEP|01012014|30062021|1402|1|0|0|0|0|N|N|N|N|N||S-1200-M;S-2299|N|N|N|Valor do abono e/ou rendimento do PIS / PASEP repassado pela empresa|||S||N|N|S|S|||0|0|N
eSocial1610|Abono PIS/PASEP|01072021||1402|1|0|9|0|0|N|N|N|N|N||S-1200-M;S-2299|N|N|N|Valor do abono e/ou rendimento do PIS / PASEP repassado pela empresa|||S||N|N|S|S|||0|0|N
eSocial1620|Abono legal|01012014||1403|1|0|11|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente às importâncias relativas a título de ganhos eventuais e a abonos expressamente desvinculados do salário, por força da lei.||31|S|36|N|N|S|S||31|0|0|N
