CodCNAEMEI|Descricao|DtInicio|DtTermino|CodCNAE
4520004|Serviços de alinhamento e balanceamento de veículos automotores|01072016||4520004
4520005|Serviços de lavagem, lubrificação e polimento de veículos automotores|01072016||4520005
4520006|Serviços de borracharia para veículos automotores|01072016||4520006
4520007|Serviços de instalação, manutenção e reparação de acessórios para veículos automotores|01072016||4520007
4520008|Serviços de capotaria|01072016||4520008
4530703|Comércio a varejo de peças e acessórios novos para veículos automotores|01072016||4530703
4530704|Comércio a varejo de peças e acessórios usados para veículos automotores|01072016||4530704
4530705|Comércio a varejo de pneumáticos e câmaras-de-ar|01072016||4530705
4541205|Comércio a varejo de peças e acessórios para motocicletas e motonetas|01072016||4541205
4541206|Comércio a varelo de peças e acessórios novos para motocicletas e motonetas|01012019||4541205
4541207|Comércio a varelo de peças e acessórios usados para motocicletas e motonetas|01012019||4541205
4543900|Manutenção e reparação de motocicletas e motonetas|01072016||4543900
4712100|Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns|01072016||4712100
4713002|Lojas de variedades, exceto lojas de departamentos ou magazines|01072016||4713002
4721102|Padaria e confeitaria com predominância de revenda|01072016||4721102
4721103|Comércio varejista de laticínios e frios|01072016||4721103
4721104|Comércio varejista de doces, balas, bombons e semelhantes|01072016||4721104
4722901|Comércio varejista de carnes - açougues|01072016||4722901
4722902|Peixaria|01072016||4722902
4723700|Comércio varejista de bebidas|01072016||4723700
4724500|Comércio varejista de hortifrutigranjeiros|01072016||4724500
4729601|Tabacaria|01072016||4729601
4729699|Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente|01072016||4729699
4732600|Comércio varejista de lubrificantes|01072016||4732600
4741500|Comércio varejista de tintas e materiais para pintura|01072016||4741500
4742300|Comércio varejista de material elétrico|01072016||4742300
4743100|Comércio varejista de vidros|01072016||4743100
4744001|Comércio varejista de ferragens e ferramentas|01072016||4744001
4744002|Comércio varejista de madeira e artefatos|01072016||4744002
4744003|Comércio varejista de materiais hidráulicos|01072016||4744003
4744004|Comércio varejista de cal, areia, pedra britada, tijolos e telhas|01072016||4744004
4744099|Comércio varejista de materiais de construção em geral|01072016||4744099
4751201|Comércio varejista especializado de equipamentos e suprimentos de informática|01072016||4751201
4751202|Recarga de cartuchos para equipamentos de informática|01072016||4751202
4752100|Comércio varejista especializado de equipamentos de telefonia e comunicação|01072016||4752100
4753900|Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo|01072016||4753900
4754701|Comércio varejista de móveis|01072016||4754701
4754702|Comércio varejista de artigos de colchoaria|01072016||4754702
4754703|Comércio varejista de artigos de iluminação|01072016||4754703
4755501|Comércio varejista de tecidos|01072016||4755501
4755502|Comercio varejista de artigos de armarinho|01072016||4755502
4755503|Comercio varejista de artigos de cama, mesa e banho|01072016||4755503
4756300|Comércio varejista especializado de instrumentos musicais e acessórios|01072016||4756300
4757100|Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação|01072016||4757100
4759801|Comércio varejista de artigos de tapeçaria, cortinas e persianas|01072016||4759801
4759899|Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente|01072016||4759899
4761001|Comércio varejista de livros|01072016||4761001
4761002|Comércio varejista de jornais e revistas|01072016||4761002
4761003|Comércio varejista de artigos de papelaria|01072016||4761003
4762800|Comércio varejista de discos, cds, dvds e fitas|01072016||4762800
4763601|Comércio varejista de brinquedos e artigos recreativos|01072016||4763601
4763602|Comércio varejista de artigos esportivos|01072016||4763602
4763603|"Comércio varejista de bicicletas e triciclos; peças e acessórios"|01072016||4763603
4763604|Comércio varejista de artigos de caça, pesca e camping|01072016||4763604
4771701|Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas|01072016||4771701
4771703|Comércio varejista de produtos farmacêuticos homeopáticos|01072016||4771703
4771704|Comércio varejista de medicamentos veterinários|01072016||4771704
4772500|Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal|01072016||4772500
4773300|Comércio varejista de artigos médicos e ortopédicos|01072016||4773300
4774100|Comércio varejista de artigos de óptica|01072016||4774100
4781400|Comércio varejista de artigos do vestuário e acessórios|01072016||4781400
4782201|Comércio varejista de calçados|01072016||4782201
4782202|Comércio varejista de artigos de viagem|01072016||4782202
4783101|Comércio varejista de artigos de joalheria|01072016||4783101
4783102|Comércio varejista de artigos de relojoaria|01072016||4783102
4784900|Comércio varejista de gás liquefeito de petróleo (GLP)|01072016||4784900
4785701|Comércio varejista de antiguidades|01072016||4785701
4785799|Comércio varejista de outros artigos usados|01072016||4785799
4789001|Comércio varejista de suvenires, bijuterias e artesanatos|01072016||4789001
4789002|Comércio varejista de plantas e flores naturais|01072016||4789002
4789003|Comércio varejista de objetos de arte|01072016||4789003
4789004|Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação|01072016||4789004
4789005|Comércio varejista de produtos saneantes domissanitários|01072016||4789005
4789006|Comércio varejista de fogos de artifício e artigos pirotécnicos|01072016||4789006
4789007|Comércio varejista de equipamentos para escritório|01072016||4789007
4789008|Comércio varejista de artigos fotográficos e para filmagem|01072016||4789008
4789099|Comércio varejista de outros produtos não especificados anteriormente|01072016||4789099
4923001|Serviço de táxi|01072016||4923001
4924800|Transporte escolar|01072016||4924800
4929901|Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal|01072016||4929901
4929902|Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional|01072016||4929902
4929903|Organização de excursões em veículos rodoviários próprios, municipal|01072016||4929903
4930201|Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal|01072016||4930201
4930202|Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional|01072016||4930202
4930204|Transporte rodoviário de mudanças|01072016||4930204
5011401|Transporte marítimo de cabotagem - carga|01072016||5011401
5021101|Transporte por navegação interior de carga, municipal, exceto travessia|01072016||5021101
5091201|Transporte por navegação de travessia, municipal|01072016||5091201
5091202|Transporte por navegação de travessia, intermunicipal, interestadual e internacional|01072016||5091202
5099801|Transporte aquaviário para passeios turísticos|01072016||5099801
5099899|Outros transportes aquaviários não especificados anteriormente|01072016||5099899
5211702|Guarda-móveis|01072016||5211702
5212500|Carga e descarga|01072016||5212500
5223100|Estacionamento de veículos|01072016||5223100
5229002|Serviços de reboque de veículos|01072016||5229002
5310502|Atividades de franqueadas do Correio Nacional|01072016||5310502
5320201|Serviços de malote não realizados pelo Correio Nacional|01072016||5320201
5320202|Serviços de entrega rápida|01072016||5320202
5590601|Albergues, exceto assistenciais|01072016||5590601
5590602|Campings|01072016||5590602
5590603|Pensões (alojamento)|01072016||5590603
5590699|Outros alojamentos não especificados anteriormente|01072016||5590699
5611201|Restaurantes e similares|01072016||5611201
5611202|Bares e outros estabelecimentos especializados em servir bebidas|01072016||5611202
5611203|Lanchonetes, casas de chá, de sucos e similares|01072016||5611203
5611204|Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento|01012019|30062020|5611202
5611204|Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento|01072020||5611204
5611205|Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento|01012019|30062020|5611202
5611205|Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento|01072020||5611205
5612100|Serviços ambulantes de alimentação|01072016||5612100
5620101|Fornecimento de alimentos preparados preponderantemente para empresas|01072016||5620101
5620102|Serviços de alimentação para eventos e recepções - bufê|01072016||5620102
5620103|Cantinas - serviços de alimentação privativos|01072016||5620103
5620104|Fornecimento de alimentos preparados preponderantemente para consumo domiciliar|01072016||5620104
5811500|Edição de livros|01072016||5811500
5812301|Editor de jornais diários|01072016||5812301
5812302|Editor de jornais não diários|01072016||5812302
5813100|Edição de revistas|01072016||5813100
5819100|Edição de cadastros, listas e de outros produtos gráficos|01072016||5819100
5912001|Serviços de dublagem|01072016||5912001
5912099|Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente|01072016||5912099
6190699|Outras atividades de telecomunicações não especificadas anteriormente|01072016||6190699
6399200|Outras atividades de prestação de serviços de informação não especificadas anteriormente|01072016||6399200
7319002|Promoção de vendas|01072016||7319002
7319003|Marketing direto|01072016||7319003
7319099|Outras atividades de publicidade não especificadas anteriormente|01072016||7319099
7420001|Atividades de produção de fotografias, exceto aérea e submarina|01072016||7420001
7420002|Atividades de produção de fotografias aéreas e submarinas|01072016||7420002
7420003|Laboratórios fotográficos|01072016||7420003
7420004|Filmagem de festas e eventos|01072016||7420004
7490102|Escafandria e mergulho|01072016||7490102
7719599|Locação de outros meios de transporte não especificados anteriormente, sem condutor|01072016||7719599
7721700|Aluguel de equipamentos recreativos e esportivos|01072016||7721700
7722500|Aluguel de fitas de vídeo, dvds e similares|01072016||7722500
7723300|Aluguel de objetos do vestuário, jóias e acessórios|01072016||7723300
7729201|Aluguel de aparelhos de jogos eletrônicos|01072016||7729201
7729202|"Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais"|01072016||7729202
7729203|Aluguel de material médico|01072016||7729203
7729299|Aluguel de outros objetos pessoais e domésticos não especificados anteriormente|01072016||7729299
7731400|Aluguel de máquinas e equipamentos agrícolas sem operador|01072016||7731400
7732201|Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes|01072016||7732201
7732202|Aluguel de andaimes|01072016||7732202
7733100|Aluguel de máquinas e equipamentos para escritórios|01072016||7733100
7739002|Aluguel de equipamentos científicos, médicos e hospitalares, sem operador|01072016||7739002
7739003|Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes|01072016||7739003
7739099|Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador|01072016||7739099
7911200|Agências de viagens|01072016||7911200
7912100|Operadores turísticos|01072016||7912100
7990200|Serviços de reservas e outros serviços de turismo não especificados anteriormente|01072016||7990200
8011102|Serviços de adestramento de cães de guarda|01072016||8011102
8020002|Outras atividades de serviços de segurança|01072016||8020002
8122200|Imunização e controle de pragas urbanas|01072016||8122200
8129000|Atividades de limpeza não especificadas anteriormente|01072016||8129000
8130300|Atividades paisagísticas|01072016||8130300
8219901|Fotocópias|01072016||8219901
8219999|Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente|01072016||8219999
8230001|Serviços de organização de feiras, congressos, exposições e festas|01072016||8230001
8230002|Casas de festas e eventos|01072016||8230002
8291100|Atividades de cobranças e informações cadastrais|01072016||8291100
8292000|Envasamento e empacotamento sob contrato|01072016||8292000
8299703|Serviços de gravação de carimbos, exceto confecção|01072016||8299703
8299707|Salas de acesso à internet|01072016||8299707
8299799|Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente|01072016||8299799
8592902|Ensino de artes cênicas, exceto dança|01072016||8592902
8592903|Ensino de música|01072016||8592903
8592999|Ensino de arte e cultura não especificado anteriormente|01072016||8592999
8593700|Ensino de idiomas|01072016||8593700
8599603|Treinamento em informática|01072016||8599603
8599604|Treinamento em desenvolvimento profissional e gerencial|01072016||8599604
8599605|Cursos preparatórios para concursos|01072016||8599605
8599699|Outras atividades de ensino não especificadas anteriormente|01072016||8599699
8712300|Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio|01072016||8712300
9001901|Produção teatral|01072016||9001901
9001902|Produção musical|01072016||9001902
9001906|Atividades de sonorização e de iluminação|01072016||9001906
9002702|Restauração de obras de arte|01072016||9002702
9102302|Restauração e conservação de lugares e prédios históricos|01072016||9102302
9329803|Exploração de jogos de sinuca, bilhar e similares|01072016||9329803
9329804|Exploração de jogos eletrônicos recreativos|01072016||9329804
9329899|Outras atividades de recreação e lazer não especificadas anteriormente|01072016||9329899
9511800|Reparação e manutenção de computadores e de equipamentos periféricos|01072016||9511800
9512600|Reparação e manutenção de equipamentos de comunicação|01072016||9512600
9521500|Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico|01072016||9521500
9529101|Reparação de calçados, de bolsas e artigos de viagem|01072016||9529101
9529102|Chaveiros|01072016||9529102
9529103|Reparação de relógios|01072016||9529103
9529104|Reparação de bicicletas, triciclos e outros veículos não-motorizados|01072016||9529104
9529105|Reparação de artigos do mobiliário|01072016||9529105
9529106|Reparação de jóias|01072016||9529106
9529199|Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente|01072016||9529199
9601701|Lavanderias|01072016||9601701
9601702|Tinturarias|01072016||9601702
9601703|Toalheiros|01072016||9601703
9602501|Cabeleireiros, manicure e pedicure|01072016||9602501
9602502|Atividades de estética e outros serviços de cuidados com a beleza|01072016||9602502
9603303|Serviços de sepultamento|01072016||9603303
9603304|Serviços de funerárias|01072016||9603304
9603399|Atividades funerárias e serviços relacionados não especificados anteriormente|01072016||9603399
9609202|Agências matrimoniais|01072016||9609202
9609206|Serviços de tatuagem e colocação de piercing|01072016||9609206
9609207|Alojamento de animais domésticos|01072016||9609207
9609208|Higiene e embelezamento de animais domésticos|01072016||9609208
9609299|Outras atividades de serviços pessoais não especificadas anteriormente|01072016||9609299
9700500|Serviços domésticos|01072016||9700500
1091100|Fabricação de produtos de panificação|01072016||1091100
1822900|Serviços de acabamentos gráficos|01072016||1822900
2539000|Serviços de usinagem, solda, tratamento e revestimento em metais|01072016||2539000
8020000|Atividades de monitoramento de sistemas de segurança|01072016||8020000
8690901|Atividades de práticas integrativas e complementares em saúde humana|01072016||8690901
9609203|Alojamento, higiene e embelezamento de animais|01072016||9609203
4751200|Comércio varejista especializado de equipamentos e suprimentos de informática|01072016||4751200
5812300|Edição de jornais|01072016||5812300
