Processo|NumeroInscricao|DtInicio|DtFim
1711160023920021|47376389000138|01012018|
1711160023923011|01838723044680|01012018|
1711160023924011|01838723039414|01012018|
1711160023926011|60394723000144|01012018|
1711160023927021|12213317000276|01012018|
1711070023928011|83543546000116|01012018|
1711160023929011|95837506000166|01012018|
1711160023922021|01936465000111|01012018|
1711160023925021|01936465000464|01012018|
1711160023930011|03655006000195|01012018|
1711070023584041|57508426000259|01012018|
1711070023585031|57508426000330|01012018|
1711070023586031|57508426000500|01012018|
1711070023587021|57508426000682|01012018|
1711070023588051|57508426000763|01012018|
1711070023606031|57508426000844|01012018|
1711070023609031|57508426001069|01012018|
1711100023931011|79827473000117|01012018|
1711090023932011|92257641000144|01012018|
1711170023933021|04641376000993|01012018|
1711170023934011|02077618000428|01012018|
1711170023935011|04641376006339|01012018|
1711170023936011|04641376001108|01012018|
1711010023400021|41025313000181|01012018|
1711060023937011|07164882000170|01012018|
1711170023938021|04641376004123|01012018|
1711090023648021|82901000000127|01012018|
1711170023939011|04641376008200|01012018|
1711090023650021|82901000001441|01012018|
1711170023940011|62445838000146|01012018|
1711140023941011|87870952000144|01012018|
1711170023942011|04262925000161|01012018|
1711130023764021|00763251000128|01012018|
1711160023943011|87870952001469|01012018|
1711090023653031|82901000002251|01012018|
1711170023945011|12715510000124|01012018|
1711170023947011|00763251000632|01012018|
1711170023948011|87826541000151|01012018|
1711140023950011|96238134000114|01012018|
1711130023951011|85778595000910|01012018|
1711170023952011|10931741000140|01012018|
1711170023953021|02077618002803|01012018|
1711140023954011|51466860000156|01012018|
1711170023955011|02077618001408|01012018|
1711170023956011|02077618002471|01012018|
1711060023957011|06538082000370|01012018|
1711090023651031|82901000001522|01012018|
1711170023958011|02077618002986|01012018|
1711010023415021|04647090000168|01012018|
1711170023959011|02077618004415|01012018|
1711140023960011|76483726000194|01012018|
1711170023961011|02077618004768|01012018|
1711170023963011|72144066000166|01012018|
1711170023962021|04641376001450|01012018|
1711170023964011|81574089000282|01012018|
1711170023965021|56380132000140|01012018|
1711010023966011|02176615000107|01012018|
1711170023967011|78897600000272|01012018|
1711080023611041|57508426001140|01012018|
1711060023969011|15440708000130|01012018|
1711080023612041|57508426001220|01012018|
1711080023615031|57508426001301|01012018|
1711080023616021|57508426001573|01012018|
1711080023633031|57508426001654|01012018|
1711080023635021|57508426002030|01012018|
1711080023638041|57508426002111|01012018|
1711080023875021|57508426002200|01012018|
1711170023970021|04641376013971|01012018|
1711170023968021|04641376006410|01012018|
1711080023641031|57508426002545|01012018|
1711080023642031|57508426002626|01012018|
1711090023654041|57508426002898|01012018|
1711090023656031|57508426002979|01012018|
1711090023890021|57508426003274|01012018|
1711090023659021|57508426003436|01012018|
1711090023876021|57508426003517|01012018|
1711090023660021|57508426004084|01012018|
1711090023661021|57508426004246|01012018|
1711170023971011|02077618001661|01012018|
1711170023972011|04641376009605|01012018|
1711090023973011|03477084000147|01012018|
1711170023974011|03477084001542|01012018|
1711180023984011|76098219002261|01012018|
1711010023985011|76098219004639|01012018|
1711180023986011|76098219004396|01012018|
1711180023987011|76098219005015|01012018|
1711180023988011|76098219004710|01012018|
1711180023989011|76098219000641|01012018|
1711180023990011|76098219004981|01012018|
1711010023991011|08174089000114|01012018|
1711150023992011|08174089000203|01012018|
1711150023993011|08174089000467|01012018|
1711150023994011|08174089000548|01012018|
1711010023995011|08174089001781|01012018|
1711150023996011|08174089002087|01012018|
1711010023997011|08174089002249|01012018|
1711150023998011|08174089002320|01012018|
1711060023999011|08174089002400|01012018|
1711150024000011|86183449000158|01012018|
1711150024001011|86183449000581|01012018|
1711150024002011|86183449001200|01012018|
1711150024003011|86183449001391|01012018|
1711150024004011|03097354000194|01012018|
1711150024005011|52312907000190|01012018|
1711150024006011|04980127000175|01012018|
1711150024007011|94870557000127|01012018|
1711150024008011|62588793000169|01012018|
1711080024009011|16880735000197|01012018|
1711080024010011|16880735000359|01012018|
1711080024011011|16880735000430|01012018|
1711080024012011|16880735000510|01012018|
1711080024013011|05160935000159|01012018|
1711080024014011|05160935000310|01012018|
1711080024015011|05160935000744|01012018|
1711080024016011|05160935001716|01012018|
1711080024017011|05160935002011|01012018|
1711080024018011|05160935003760|01012018|
1711110024019011|54360623000870|01012018|
1711110024020011|54360623002229|01012018|
1711110024021011|54360623003110|01012018|
1711110024022011|54360623003209|01012018|
1711110024023011|54360623003977|01012018|
1711110024024011|54360623004000|01012018|
1711110024025011|54360623004353|01012018|
1711090024026011|05460034000182|01012018|
1711090024027011|05460034000263|01012018|
1711090024028011|15100972000125|01012018|
1711090024029011|81159857000150|01012018|
1711090024030011|81159857000908|01012018|
1711090024031011|19350180000836|01012018|
1711090024032011|19350180001050|01012018|
1711090024033011|19350180004904|01012018|
1711080024034011|57485708000105|01012018|
1711090024035011|47063342000114|01012018|
1711110024036011|03229127000175|01012018|
1711110024037011|03221900000157|01012018|
1711150024038011|07707650004299|01012018|
1711150024039011|07707650009339|01012018|
1711050024040011|72343882000107|01012018|
1711050024041011|72343882000794|01012018|
1711010024042011|01145506000151|01012018|
1711200024044011|04695085000120|01012018|
1711010024045011|12049167000126|01012018|
1711010024046011|02949016000170|01012018|
1711170024047021|02949016000251|01012018|
1711170024048011|02949016000332|01012018|
1711170024049011|82637109000107|01012018|
1711200024050011|10467099000190|01012018|
1711170024052011|04641376009435|01012018|
1711090024054011|00993264000274|01012018|
1711200024055011|86375078000106|01012018|
1711010023401021|83108712000156|01012018|
1711010023403021|83108712002361|01012018|
1711010023396021|84429737000203|01012018|
1711010023395021|84429737000114|01012018|
1711200024056021|02302647000284|01012018|
1711200024057011|02220017000180|01012018|
1711200024058011|04629488000171|01012018|
1711200024059011|50377142001031|01012018|
1711200024060011|88243688000181|01012018|
1711030023843021|75285965000177|01012018|
1711210024062011|47074851000142|01012018|
1711010024063011|83646984000703|01012018|
1711010024064011|83646984000967|01012018|
1711210024065011|47074851001386|01012018|
1711210024066011|95433231000103|01012018|
